what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525793902191
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525793909960
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525793942174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525793942892
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525793984466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525793986291
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525793990550
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525793995916
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525793998693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793998974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794003373
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794010861
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794014449
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525794014449
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794014465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794016305
error,log,,,"{R,T}xThread terminated",1525794021517
closed,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1525794022547
error,log,,,"No Byte Stream Services found for Nios II Console View",1525794025263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794045282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794056233
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794058495
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525794063300
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525794074142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794186836
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794187460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794188053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794244707
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794256984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794262725
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525794262741
error,log,,,"{R,T}xThread terminated",1525794268393
error,log,,,"No Byte Stream Services found for Nios II Console View",1525794270687
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794289988
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794293202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794299068
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1525794310939
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525794327818
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525794373573
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525794567029
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525794568948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794569244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794576342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794609586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794613720
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525794613720
error,log,,,"{R,T}xThread terminated",1525794616450
error,log,,,"No Byte Stream Services found for Nios II Console View",1525794619949
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.activateEditor",1525794639141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794640513
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794661449
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794666441
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1525794669779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794671448
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794675629
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525794677641
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794679014
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794684115
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794685551
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794698077
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794702009
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1525794719949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794721197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794729184
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525794732101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525794769775
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525794771413
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525794773348
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525794774330
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525794775422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794775703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794782645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794794314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794796498
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525794796514
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1525794805390
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1525794805515
error,log,,,"Inferior terminated",1525794805546
error,log,,,"Inferior terminated",1525794805546
error,log,,,"Inferior terminated",1525794805547
error,log,,,"Inferior terminated",1525794805547
error,log,,,"Inferior terminated",1525794805547
error,log,,,"Inferior terminated",1525794805548
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794811443
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794814688
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525794814688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794818962
error,log,,,"No Byte Stream Services found for Nios II Console View",1525794819399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794821817
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525794821817
opened,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1525794832226
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525794837062
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794839808
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794843817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794849964
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794857436
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794864331
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794868746
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794899057
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794902489
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525794906545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794910663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525794917793
